  -5.28024  -5.09384  -2.46848  -4.80609  -4.69841  -2.30585  -6.81638  -4.49475   6.69337  11.11536   8.89229   6.69337   4.49475   2.27213   2.30585   2.34921   2.40305   4.93697   5.09384   5.28024
   4.78577  -0.78660  -1.56448  -2.76022  -3.14758  -2.92271  -4.15318  -1.96134   3.69598   6.80790   6.41635   5.06157   3.70950   1.90154   0.76043   0.01558   0.65346   2.65182   4.70589   4.78577
   0.00000  -1.94270  -1.05932  -1.94580  -1.95986  -1.57272  -3.46620  -1.75376   3.94009   6.40428   4.66754   3.81666   4.25463   3.42103   1.36807  -0.60212   0.13433   2.91257   7.25086  13.13734
   0.00000  -1.60102  -0.11810  -0.13892   0.14289   0.92433  -0.01694   0.65112   4.02264   5.04763   1.58536   0.93734   4.38569   5.96471   1.69955  -4.00268  -4.20465  -0.69811   4.92983  12.12552
  -7.52080  -2.48706  -0.39330   0.68927   0.97153   2.61076   2.47830   1.74562   3.96287   6.12782   3.25527   3.23790   8.48308   9.88305   1.13343  -8.71580  -7.06132  -0.96168   5.50332  15.04161
  -3.52464  -1.05233  -0.14351   1.89523   2.42919   3.85735   3.52465   2.98165   4.12266   7.00082   6.41721   5.91409   9.42584  10.07585  -1.21330 -14.18931  -9.89643  -0.29896   7.55963  17.62318
   3.32678   0.23954   0.14625   3.40699   3.46070   2.46190   1.15930   2.05682   3.81721   7.32619   9.06545   7.95099   9.04958   9.54180  -1.93792 -16.10424 -10.72670   0.74310   9.51379  19.96069
  -3.16082  -1.84788  -0.73754   1.67357   0.88752  -1.08649  -2.20006   0.06926   3.25787   7.69585  10.48310   7.77593   6.62164   5.76508  -4.99965 -16.51790  -8.37824   4.35207  12.39996  15.80410
  -9.06609  -5.51675  -4.05410  -3.10778  -3.50932  -4.53258  -3.93503  -0.64188   2.87856   8.54018  11.28873   7.41898   4.70397  -0.43843 -10.64723 -16.59483  -2.65331  11.80066  19.02452  24.17623
  -8.71995  -8.83440  -7.51285  -6.33664  -6.63701  -7.17427  -4.44330  -0.10923   3.23650   9.40235  11.82996   7.86111   2.73651  -6.73860 -15.36100 -16.83713   0.68422  16.98843  22.94064  20.34654
 -16.86996 -12.22399 -10.16147  -9.13635  -8.94115  -8.42859  -3.94976   2.15072   6.14475  10.43306  11.58504   7.35127   0.59003  -9.15379 -16.01370 -14.91100   3.12332  18.87677  23.09805  22.49329
 -13.67303 -13.13551 -11.58838 -10.74310  -9.90264  -8.33727  -3.72545   2.79282   8.62627  13.11544  14.02432   9.64004   2.26777  -7.84971 -15.28436 -13.79256   2.21713  16.23351  18.60460  16.40764
 -18.71420 -14.19726 -12.00633 -10.20911  -7.92113  -5.60575  -1.66381   4.50725  10.58163  13.58664  14.03481  10.00417   2.28267  -6.07687 -10.94341  -8.81215   3.63372  13.96612  15.58584  18.71420
 -13.13253 -11.86559  -9.76220  -6.85297  -4.47972  -2.43901  -0.26476   5.17621  14.72697  20.42874  18.22275  12.13865   3.46697  -5.53855 -10.82691  -8.17757   1.48809   9.02231  12.09721  13.13253
 -10.36914  -8.79883  -6.87941  -3.65505  -1.78511   0.28863   2.43813   7.35313  15.59295  20.93324  18.36538  12.35962   4.30230  -3.49389  -8.38321  -6.25313   1.21510   7.38839  12.39528  18.14599
 -12.84735 -10.23121  -5.10656  -1.27725   0.00000   1.28409   2.57739   6.46514  20.74200  29.85845  22.06929  12.96375   5.17211  -3.86609 -12.84086 -10.23999   0.00000   5.10656  10.23121  12.84735
